clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,#VALUE!
CBLOF,0.202833333,1217,1217,4783,0.570685757,0.820847553,1
CBLOF,0.204166667,1225,1225,4775,0.611753392,0.834231643,1
CBLOF,0.2075,1245,1245,4755,0.566721143,0.815210446,1
CBLOF,0.197833333,1187,1187,4813,0.555227339,0.820172799,1
CBLOF,0.206833333,1241,1241,4759,0.593120055,0.825203814,1
CBLOF,0.209,1254,1254,4746,0.556413157,0.810208383,1
CBLOF,0.206833333,1241,1241,4759,0.573309421,0.818139618,1
CBLOF,0.207166667,1243,1243,4757,0.533735355,0.804110681,1
CBLOF,0.207666667,1246,1246,4754,0.581665115,0.820358336,1
CBLOF,0.197833333,1187,1184,4816,0.558689687,0.821333127,0.99747262
CBLOF,0.216833333,1301,1301,4699,0.428795667,0.759936815,1
CBLOF,0.204833333,1229,1229,4771,0.572785061,0.819765729,1
CBLOF,0.202333333,1214,1214,4786,0.514130657,0.802260587,1
CBLOF,0.2025,1215,1215,4785,0.612472103,0.835901995,1
CBLOF,0.205,1230,1230,4770,0.563327709,0.816315815,1
CBLOF,0.2035,1221,1220,4780,0.579036407,0.823156219,0.999180999
CBLOF,0.215666667,1294,1293,4707,0.580371764,0.81272538,0.999227202
CBLOF,0.219,1314,1314,4686,0.619969715,0.824800159,1
CBLOF,0.207166667,1243,1241,4759,0.535467654,0.804700226,0.99839099
CBLOF,0.203666667,1222,1222,4778,0.589464533,0.826681233,1
CBLOF,0.210833333,1265,1265,4735,0.623858993,0.83311032,1
CBLOF,0.2145,1287,1287,4713,0.505410072,0.78732847,1
CBLOF,0.213833333,1283,1283,4717,0.506767367,0.788450348,1
CBLOF,0.212,1272,1272,4728,0.48869441,0.784245645,1
CBLOF,0.205333333,1232,1232,4768,0.598071287,0.8282936,1
CBLOF,0.204833333,1229,1229,4771,0.611669295,0.833636111,1
CBLOF,0.2065,1239,1239,4761,0.575343044,0.819159331,1
CBLOF,0.198666667,1192,1192,4808,0.584375593,0.829322164,1
CBLOF,0.205,1230,1230,4770,0.492764739,0.792650467,1
CBLOF,0.212166667,1273,1273,4727,0.615619253,0.828892297,1
CBLOF,0.207,1242,1242,4758,0.624837294,0.836655429,1
CBLOF,0.201833333,1211,1211,4789,0.540648393,0.811532541,1
CBLOF,0.208666667,1252,1251,4749,0.514109522,0.796027666,0.999201278
CBLOF,0.213166667,1279,1279,4721,0.516077665,0.792273622,1
CBLOF,0.194166667,1165,1163,4837,0.545368846,0.820340968,0.998283262
CBLOF,0.214,1284,1284,4716,0.586811253,0.81658451,1
CBLOF,0.217166667,1303,1303,4697,0.527465728,0.79231428,1
CBLOF,0.209833333,1259,1259,4741,0.561729687,0.811307754,1
CBLOF,0.199666667,1198,1198,4802,0.612536235,0.838319445,1
CBLOF,0.214333333,1286,1285,4715,0.63390262,0.834057625,0.999222395
CBLOF,0.2155,1293,1293,4707,0.57855137,0.812205954,1
CBLOF,0.217166667,1303,1303,4697,0.583836518,0.812664545,1
CBLOF,0.212333333,1274,1274,4726,0.570497817,0.812144177,1
CBLOF,0.202666667,1216,1215,4785,0.594249197,0.829252447,0.999177632
CBLOF,0.215166667,1291,1290,4710,0.577690445,0.812190014,0.999225407
CBLOF,0.203666667,1222,1222,4778,0.568912069,0.819474491,1
CBLOF,0.2,1200,1200,4800,0.558854167,0.819387543,1
CBLOF,0.203333333,1220,1220,4780,0.569414912,0.819952417,1
CBLOF,0.207,1242,1242,4758,0.535488666,0.804866864,1
CBLOF,0.212833333,1277,1277,4723,0.581680213,0.815744157,1
CBLOF,0.207,1242,1242,4758,0.423295218,0.768826096,1
CBLOF,0.208333333,1250,1250,4750,0.594273684,0.824306862,1
CBLOF,0.201333333,1208,1208,4792,0.559489325,0.818372034,1
CBLOF,0.211166667,1267,1267,4733,0.547752093,0.805148692,1
CBLOF,0.1975,1185,1185,4815,0.572012566,0.826136199,1
CBLOF,0.203333333,1220,1220,4780,0.580218122,0.823719753,1
CBLOF,0.2075,1245,1245,4755,0.576856321,0.818794398,1
CBLOF,0.203333333,1220,1220,4780,0.575073736,0.821920969,1
CBLOF,0.21,1260,1260,4740,0.529334941,0.799885132,1
CBLOF,0.205,1230,1229,4771,0.571613744,0.819204425,0.999186992
CBLOF,0.207,1242,1242,4758,0.600469486,0.827714425,1
CBLOF,0.206,1236,1236,4764,0.586298533,0.823494824,1
CBLOF,0.211333333,1268,1268,4732,0.574512481,0.814496757,1
CBLOF,0.205833333,1235,1235,4765,0.561070729,0.814764698,1
CBLOF,0.206,1236,1236,4764,0.567957089,0.817014573,1
CBLOF,0.210666667,1264,1263,4737,0.574133221,0.814963407,0.999208861
CBLOF,0.214333333,1286,1286,4714,0.598165948,0.820498655,1
CBLOF,0.2055,1233,1233,4767,0.566157642,0.816842422,1
CBLOF,0.214333333,1286,1286,4714,0.567978907,0.809410379,1
CBLOF,0.205333333,1232,1232,4768,0.57713218,0.820841567,1
CBLOF,0.208833333,1253,1253,4747,0.575318793,0.817044921,1
CBLOF,0.211833333,1271,1270,4730,0.584836535,0.817786862,0.999213218
CBLOF,0.216666667,1300,1300,4700,0.574795417,0.809772718,1
CBLOF,0.202833333,1217,1217,4783,0.524816648,0.805293322,1
