clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,#VALUE!
Feature Bagging,0.202833333,1217,1217,4783,0.457301443,0.783658669,1
Feature Bagging,0.204166667,1225,1225,4775,0.439940165,0.77691742,1
Feature Bagging,0.2075,1245,1245,4755,0.466382882,0.781638383,1
Feature Bagging,0.197833333,1187,1187,4813,0.485912119,0.797726376,1
Feature Bagging,0.206833333,1241,1241,4759,0.439714632,0.774008545,1
Feature Bagging,0.209,1254,1247,4753,0.467929175,0.780575612,0.994417863
Feature Bagging,0.206833333,1241,1241,4759,0.458509336,0.779847885,1
Feature Bagging,0.207166667,1243,1243,4757,0.480969824,0.786644143,1
Feature Bagging,0.207666667,1246,1243,4757,0.469546807,0.782471599,0.997592295
Feature Bagging,0.197833333,1187,1187,4813,0.439176857,0.78344113,1
Feature Bagging,0.216833333,1301,1301,4699,0.443026702,0.764427095,1
Feature Bagging,0.204833333,1229,1229,4771,0.500644574,0.795376709,1
Feature Bagging,0.202333333,1214,1214,4786,0.479020014,0.790966634,1
Feature Bagging,0.2025,1215,1215,4785,0.44528297,0.780318167,1
Feature Bagging,0.205,1230,1230,4770,0.483560873,0.789687095,1
Feature Bagging,0.2035,1221,1221,4779,0.471993822,0.787551009,1
Feature Bagging,0.215666667,1294,1294,4706,0.452177529,0.768580046,1
Feature Bagging,0.219,1314,1314,4686,0.482086931,0.774933892,1
Feature Bagging,0.207166667,1243,1243,4757,0.450528171,0.777002133,1
Feature Bagging,0.203666667,1222,1222,4778,0.470260242,0.786833304,1
Feature Bagging,0.210833333,1265,1265,4735,0.437541477,0.769076259,1
Feature Bagging,0.2145,1287,1286,4714,0.474851586,0.777141871,0.999222999
Feature Bagging,0.213833333,1283,1283,4717,0.469093316,0.775950015,1
Feature Bagging,0.212,1272,1272,4728,0.510643138,0.791576364,1
Feature Bagging,0.205333333,1232,1232,4768,0.441794049,0.776242921,1
Feature Bagging,0.204833333,1229,1229,4771,0.449992743,0.779296328,1
Feature Bagging,0.2065,1239,1239,4761,0.440063104,0.774470507,1
