clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,
HBOS,0.202833333,1217,1213,4787,0.494311801,0.795332515,0.996713229
HBOS,0.204166667,1225,1206,4794,0.473727962,0.787410462,0.984489796
HBOS,0.2075,1245,1244,4756,0.474596177,0.784256123,0.999196787
HBOS,0.197833333,1187,1096,4904,0.502192181,0.802863183,0.923336142
HBOS,0.206833333,1241,1234,4766,0.478547454,0.78620658,0.994359388
HBOS,0.209,1254,1254,4746,0.475761003,0.783088322,1
HBOS,0.206833333,1241,1201,4799,0.477442884,0.785851872,0.967767929
HBOS,0.207166667,1243,1232,4768,0.493287954,0.790636161,0.991150442
HBOS,0.207666667,1246,1239,4761,0.479083762,0.785525523,0.994382022
HBOS,0.197833333,1187,1186,4814,0.490216927,0.799076591,0.99915754
HBOS,0.216833333,1301,1291,4709,0.477460084,0.775606705,0.992313605
HBOS,0.204833333,1229,1223,4777,0.470063659,0.78556502,0.995117982
HBOS,0.202333333,1214,1213,4787,0.473961155,0.789372617,0.999176277
HBOS,0.2025,1215,1213,4787,0.49967362,0.797394601,0.998353909
HBOS,0.205,1230,1226,4774,0.483468835,0.789657566,0.996747967
HBOS,0.2035,1221,1221,4779,0.485875192,0.791954132,1
HBOS,0.215666667,1294,1206,4794,0.479755201,0.777559186,0.931993818
HBOS,0.219,1314,1312,4688,0.491557481,0.778125668,0.99847793
HBOS,0.207166667,1243,1232,4768,0.484155458,0.787671443,0.991150442
HBOS,0.203666667,1222,1208,4792,0.472752913,0.787617931,0.988543372
HBOS,0.210833333,1265,1260,4740,0.492662496,0.786734563,0.996047431
HBOS,0.2145,1287,1242,4758,0.527494749,0.794902979,0.965034965
HBOS,0.213833333,1283,1274,4726,0.551343947,0.803910629,0.992985191
HBOS,0.212,1272,1263,4737,0.557986543,0.807977337,0.992924528
HBOS,0.205333333,1232,1232,4768,0.492865042,0.792346808,1
HBOS,0.204833333,1229,1182,4818,0.476406991,0.787573673,0.961757526
HBOS,0.2065,1239,1226,4774,0.463805496,0.781861344,0.989507667
HBOS,0.198666667,1192,1174,4826,0.45328954,0.786804064,0.984899329
HBOS,0.205,1230,1145,4855,0.523661605,0.802804967,0.930894309
HBOS,0.212166667,1273,1270,4730,0.475345955,0.779700763,0.997643362
HBOS,0.207,1242,1240,4760,0.4940705,0.791059357,0.998389694
HBOS,0.201833333,1211,1139,4861,0.448846353,0.782105372,0.940545004
