clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,#VALUE!
Isolation Forest,0.202833333,1217,1217,4783,0.435655347,0.777039978,1
Isolation Forest,0.204166667,1225,1223,4777,0.428866332,0.773560692,0.998367347
Isolation Forest,0.2075,1245,1245,4755,0.43952466,0.773240289,1
Isolation Forest,0.197833333,1187,1187,4813,0.439176857,0.78344113,1
Isolation Forest,0.206833333,1241,1241,4759,0.413300453,0.76600625,1
Isolation Forest,0.209,1254,1254,4746,0.415271888,0.764239985,1
Isolation Forest,0.206833333,1241,1241,4759,0.432603122,0.771830591,1
Isolation Forest,0.207166667,1243,1243,4757,0.43835151,0.773234418,1
Isolation Forest,0.207666667,1246,1245,4755,0.435910184,0.771950903,0.999197432
Isolation Forest,0.197833333,1187,1187,4813,0.409245285,0.774651401,1
Isolation Forest,0.216833333,1301,1301,4699,0.413092455,0.755070426,1
Isolation Forest,0.204833333,1229,1229,4771,0.440783319,0.776465143,1
Isolation Forest,0.202333333,1214,1214,4786,0.40415173,0.768232289,1
Isolation Forest,0.2025,1215,1214,4786,0.466028097,0.78671676,0.999176955
Isolation Forest,0.205,1230,1230,4770,0.429360331,0.772813813,1
Isolation Forest,0.2035,1221,1221,4779,0.446801707,0.779723213,1
Isolation Forest,0.215666667,1294,1294,4706,0.44183196,0.765284054,1
Isolation Forest,0.219,1314,1314,4686,0.416799677,0.753867001,1
Isolation Forest,0.207166667,1243,1243,4757,0.419071797,0.767372984,1
Isolation Forest,0.203666667,1222,1222,4778,0.428641503,0.774031428,1
Isolation Forest,0.210833333,1265,1265,4735,0.531701942,0.799894666,1
Isolation Forest,0.2145,1287,1287,4713,0.592952489,0.818413228,1
Isolation Forest,0.213833333,1283,1283,4717,0.581124045,0.814645649,1
Isolation Forest,0.212,1272,1270,4730,0.631572646,0.835070851,0.998427673
Isolation Forest,0.205333333,1232,1232,4768,0.572025081,0.819046431,1
Isolation Forest,0.204833333,1229,1229,4771,0.570226888,0.818870996,1
Isolation Forest,0.2065,1239,1239,4761,0.52702878,0.80248236,1
Isolation Forest,0.198666667,1192,1192,4808,0.582281768,0.828600407,1
Isolation Forest,0.205,1230,1230,4770,0.600143171,0.829327484,1
Isolation Forest,0.212166667,1273,1273,4727,0.60764248,0.825904963,1
Isolation Forest,0.207,1242,1242,4758,0.578132329,0.819697314,1
Isolation Forest,0.201833333,1211,1211,4789,0.598067344,0.831330398,1
