clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,#VALUE!
KNN,0.202833333,1217,1217,4783,0.525332031,0.805464242,1
KNN,0.204166667,1225,1225,4775,0.517897211,0.801702713,1
KNN,0.2075,1245,1245,4755,0.527193949,0.801571112,1
KNN,0.197833333,1187,1187,4813,0.517419037,0.807742807,1
KNN,0.206833333,1241,1241,4759,0.526068678,0.801836261,1
KNN,0.209,1254,1253,4747,0.522745419,0.798610875,0.999202552
KNN,0.206833333,1241,1241,4759,0.529116468,0.802865042,1
KNN,0.207166667,1243,1243,4757,0.508367311,0.795593991,1
KNN,0.207666667,1246,1246,4754,0.526967575,0.801333341,1
KNN,0.197833333,1187,1187,4813,0.544725033,0.816675128,1
KNN,0.216833333,1301,1301,4699,0.531847995,0.794174061,1
KNN,0.204833333,1229,1227,4773,0.526947542,0.804066736,0.998372661
KNN,0.202333333,1214,1214,4786,0.508967327,0.80057439,1
KNN,0.2025,1215,1215,4785,0.532489647,0.808166891,1
KNN,0.205,1230,1230,4770,0.527534898,0.804102448,1
KNN,0.2035,1221,1221,4779,0.520835679,0.803326329,1
KNN,0.215666667,1294,1294,4706,0.538883244,0.797769177,1
KNN,0.219,1314,1314,4686,0.529347108,0.791204226,1
KNN,0.207166667,1243,1243,4757,0.532213272,0.803593449,1
KNN,0.203666667,1222,1222,4778,0.530890011,0.806511542,1
KNN,0.210833333,1265,1265,4735,0.565759983,0.811818191,1
KNN,0.2145,1287,1287,4713,0.534096288,0.797203708,1
KNN,0.213833333,1283,1283,4717,0.513707323,0.790809671,1
KNN,0.212,1272,1272,4728,0.541072056,0.802025933,1
KNN,0.205333333,1232,1232,4768,0.558235913,0.814243509,1
KNN,0.204833333,1229,1229,4771,0.556924387,0.814253796,1
KNN,0.2065,1239,1239,4761,0.572291617,0.81808249,1
KNN,0.198666667,1192,1192,4808,0.554538577,0.819167811,1
KNN,0.205,1230,1230,4770,0.532136831,0.80564861,1
KNN,0.212166667,1273,1273,4727,0.564268777,0.810062367,1
KNN,0.207,1242,1242,4758,0.565948426,0.815396435,1
KNN,0.201833333,1211,1211,4789,0.544269408,0.812749312,1
KNN,0.208666667,1252,1252,4748,0.545293663,0.806648862,1
KNN,0.213166667,1279,1279,4721,0.564768003,0.809322437,1
KNN,0.194166667,1165,1165,4835,0.544629423,0.820099672,1
KNN,0.214,1284,1284,4716,0.557085444,0.80580095,1
KNN,0.217166667,1303,1303,4697,0.540700609,0.796984471,1
KNN,0.209833333,1259,1259,4741,0.558714065,0.810243785,1
KNN,0.199666667,1198,1198,4802,0.558301737,0.819508599,1
KNN,0.214333333,1286,1286,4714,0.571937863,0.810845499,1
KNN,0.2155,1293,1293,4707,0.528273288,0.794208243,1
