clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,#VALUE!
CBLOF,0.360248447,1334,1334,2369,0.559424171,0.66897559,1
CBLOF,0.348636241,1291,1291,2412,0.557027829,0.678845716,1
CBLOF,0.364569268,1350,1350,2353,0.552942501,0.661450041,1
CBLOF,0.372670807,1380,1380,2323,0.537953795,0.645875663,1
CBLOF,0.360248447,1334,1334,2369,0.554737195,0.666537415,1
CBLOF,0.378881988,1403,1403,2300,0.550163934,0.646173157,1
CBLOF,0.378611936,1402,1402,2301,0.547169066,0.644858261,1
CBLOF,0.351066703,1300,1300,2403,0.55133471,0.673622485,1
CBLOF,0.368349986,1364,1364,2339,0.55430235,0.658519245,1
CBLOF,0.363219012,1345,1344,2359,0.553027895,0.662794009,0.999256506
CBLOF,0.351876857,1303,1303,2400,0.555360546,0.674892041,1
CBLOF,0.371860654,1377,1377,2326,0.555464544,0.655751773,1
CBLOF,0.3710505,1374,1373,2330,0.544867949,0.650999533,0.999272198
CBLOF,0.367539833,1361,1361,2342,0.546921657,0.65546409,1
CBLOF,0.365379422,1353,1353,2350,0.551617367,0.659981156,1
CBLOF,0.371590602,1376,1376,2327,0.542611351,0.649312698,1
CBLOF,0.357007831,1322,1322,2381,0.551783503,0.668133404,1
CBLOF,0.352416959,1305,1305,2398,0.550938522,0.672122382,1
CBLOF,0.367809884,1362,1361,2342,0.559469013,0.661759219,0.999265786
CBLOF,0.371320551,1375,1375,2328,0.553465167,0.655217959,1
CBLOF,0.376451526,1394,1394,2309,0.549024372,0.647926414,1
CBLOF,0.370780448,1373,1373,2330,0.546253466,0.651978106,1
CBLOF,0.372130705,1378,1378,2325,0.549239197,0.652221707,1
CBLOF,0.365379422,1353,1353,2350,0.54055338,0.654305612,1
CBLOF,0.370240346,1371,1371,2332,0.54482305,0.651763373,1
CBLOF,0.375911423,1392,1392,2311,0.544738401,0.646211353,1
CBLOF,0.363219012,1345,1345,2358,0.552815851,0.662684707,1
CBLOF,0.37726168,1397,1396,2307,0.541577914,0.643258305,0.99928418
CBLOF,0.342965163,1270,1270,2433,0.542803998,0.67718779,1
CBLOF,0.365649473,1354,1353,2350,0.549642105,0.658696856,0.999261448
CBLOF,0.363759114,1347,1347,2356,0.544349482,0.657810268,1
CBLOF,0.356467729,1320,1320,2383,0.544417846,0.664913847,1
CBLOF,0.373751013,1384,1384,2319,0.549455273,0.650766734,1
CBLOF,0.361598704,1339,1339,2364,0.539668812,0.65753902,1
CBLOF,0.363759114,1347,1347,2356,0.544932901,0.658107889,1
CBLOF,0.380232244,1408,1408,2295,0.542763109,0.640980034,1
CBLOF,0.365379422,1353,1353,2350,0.556858203,0.662715203,1
CBLOF,0.365379422,1353,1353,2350,0.548705792,0.658474917,1
CBLOF,0.365649473,1354,1354,2349,0.544772187,0.656192367,1
CBLOF,0.363759114,1347,1347,2356,0.556017869,0.66383115,1
CBLOF,0.358898191,1329,1329,2374,0.507056316,0.644374643,1
CBLOF,0.358628139,1328,1328,2375,0.536244451,0.658721144,1
CBLOF,0.369700243,1369,1369,2334,0.545128137,0.65244486,1
CBLOF,0.366189576,1356,1356,2347,0.52585787,0.646172016,1
CBLOF,0.36699973,1359,1357,2346,0.547068651,0.656061966,0.99852833
CBLOF,0.361598704,1339,1339,2364,0.536159299,0.655779528,1
CBLOF,0.37321091,1382,1382,2321,0.534761577,0.643725497,1
CBLOF,0.384553065,1424,1424,2279,0.545297101,0.638101752,1
CBLOF,0.36078855,1336,1336,2367,0.508188945,0.643023438,1
CBLOF,0.371590602,1376,1376,2327,0.517168746,0.636590385,1
CBLOF,0.35673778,1321,1320,2383,0.535366974,0.66013042,0.999242998
CBLOF,0.3710505,1374,1374,2329,0.542338923,0.649698142,1
CBLOF,0.362138806,1341,1341,2362,0.537043457,0.655694683,1
CBLOF,0.357547934,1324,1324,2379,0.542091456,0.66269548,1
CBLOF,0.381852552,1414,1414,2289,0.518339973,0.627001603,1
CBLOF,0.363759114,1347,1347,2356,0.53676503,0.653973981,1
CBLOF,0.362678909,1343,1343,2360,0.505796219,0.640018277,1
CBLOF,0.36078855,1336,1336,2367,0.530437541,0.653732847,1
CBLOF,0.372400756,1379,1379,2324,0.530307233,0.642275497,1
CBLOF,0.364299217,1349,1349,2354,0.535309676,0.652717043,1
CBLOF,0.369700243,1369,1369,2334,0.557296684,0.658797339,1
CBLOF,0.357007831,1322,1322,2381,0.555312767,0.669946408,1
CBLOF,0.374021064,1385,1385,2318,0.535745212,0.643431909,1
CBLOF,0.353497164,1309,1309,2394,0.557470995,0.674422256,1
CBLOF,0.358088037,1326,1326,2377,0.558257839,0.670435171,1
CBLOF,0.37321091,1382,1382,2321,0.556118676,0.654798781,1
CBLOF,0.381582501,1413,1413,2290,0.555974621,0.646659795,1
CBLOF,0.370780448,1373,1373,2330,0.548568499,0.653179026,1
CBLOF,0.365649473,1354,1354,2349,0.555832709,0.661918435,1
CBLOF,0.373480961,1383,1383,2320,0.552786141,0.652776871,1
CBLOF,0.364569268,1350,1350,2353,0.559354016,0.664803383,1
CBLOF,0.372940859,1381,1381,2322,0.54328602,0.648346932,1
CBLOF,0.374561167,1387,1387,2316,0.559069506,0.655072768,1
CBLOF,0.372940859,1381,1380,2323,0.544078739,0.648755761,0.999275887
CBLOF,0.364569268,1350,1350,2353,0.567514127,0.669134489,1
CBLOF,0.352957062,1307,1307,2396,0.560711202,0.676609903,1
CBLOF,0.380772347,1410,1410,2293,0.547594746,0.642985623,1
CBLOF,0.368349986,1364,1364,2339,0.553141679,0.65791146,1
CBLOF,0.376991628,1396,1395,2308,0.55697047,0.651613873,0.999283668
CBLOF,0.366189576,1356,1356,2347,0.550873958,0.658813818,1
CBLOF,0.369430192,1368,1368,2335,0.561799842,0.661447512,1
CBLOF,0.365649473,1354,1354,2349,0.548847116,0.658286748,1
CBLOF,0.365649473,1354,1353,2350,0.55895623,0.663558394,0.999261448
CBLOF,0.3710505,1374,1373,2330,0.543710778,0.650403006,0.999272198
CBLOF,0.354847421,1314,1313,2390,0.563160012,0.676079495,0.999238965
CBLOF,0.364839319,1351,1351,2352,0.560658331,0.665232627,1
CBLOF,0.3710505,1374,1374,2329,0.560275071,0.659083321,1
CBLOF,0.36078855,1336,1336,2367,0.550929668,0.664052807,1
CBLOF,0.369430192,1368,1368,2335,0.543251687,0.651742149,1
CBLOF,0.362678909,1343,1343,2360,0.549608611,0.661549297,1
CBLOF,0.365109371,1352,1352,2351,0.570116518,0.670018761,1
CBLOF,0.365919525,1355,1355,2348,0.552479774,0.659908523,1
CBLOF,0.353497164,1309,1309,2394,0.568696697,0.680261166,1
CBLOF,0.373480961,1383,1383,2320,0.554517291,0.653690669,1
CBLOF,0.375371321,1390,1390,2313,0.54447757,0.646600758,1
CBLOF,0.36916014,1367,1367,2336,0.566885259,0.664431118,1
CBLOF,0.363219012,1345,1345,2358,0.555151016,0.663897959,1
CBLOF,0.368079935,1363,1363,2340,0.547199804,0.655084466,1
CBLOF,0.349176344,1293,1293,2410,0.551404306,0.675475833,1
CBLOF,0.355657575,1317,1317,2386,0.550435469,0.668745592,1
CBLOF,0.374291115,1386,1385,2318,0.556274877,0.653841596,0.999278499
CBLOF,0.361328652,1338,1338,2365,0.520796083,0.648495436,1
CBLOF,0.361868755,1340,1340,2363,0.548588627,0.661807999,1
CBLOF,0.363759114,1347,1347,2356,0.556017869,0.66383115,1
CBLOF,0.384283014,1423,1423,2280,0.521209053,0.626019225,1
CBLOF,0.361058601,1337,1337,2366,0.544637602,0.660575771,1
CBLOF,0.378341885,1401,1401,2302,0.537283162,0.639991955,1
CBLOF,0.374831218,1388,1388,2315,0.538453172,0.644021449,1
CBLOF,0.366729679,1358,1358,2345,0.509291539,0.637632481,1
CBLOF,0.369970294,1370,1370,2333,0.534259013,0.646643332,1
CBLOF,0.36699973,1359,1359,2344,0.534436239,0.649638984,1
CBLOF,0.361598704,1339,1339,2364,0.542593407,0.659015105,1
CBLOF,0.372130705,1378,1378,2325,0.523233766,0.639025421,1
CBLOF,0.378341885,1401,1401,2302,0.523504993,0.633031167,1
CBLOF,0.36294896,1344,1344,2359,0.549168963,0.661062335,1
CBLOF,0.36699973,1359,1359,2344,0.54664203,0.655843227,1
CBLOF,0.374561167,1387,1387,2316,0.532556038,0.641287117,1
CBLOF,0.374831218,1388,1387,2316,0.541550221,0.645611758,0.999279539
CBLOF,0.366189576,1356,1356,2347,0.506077708,0.636651445,1
CBLOF,0.36078855,1336,1336,2367,0.550344179,0.663751882,1
CBLOF,0.37942209,1405,1404,2299,0.542602573,0.641685087,0.999288256
CBLOF,0.362138806,1341,1341,2362,0.551656984,0.663125938,1
CBLOF,0.369430192,1368,1368,2335,0.556003544,0.658374235,1
CBLOF,0.363489063,1346,1346,2357,0.550040473,0.660989524,1
CBLOF,0.370510397,1372,1372,2331,0.54727541,0.652769167,1
CBLOF,0.372400756,1379,1379,2324,0.548794525,0.651728362,1
CBLOF,0.36294896,1344,1344,2359,0.531065644,0.651925375,1
CBLOF,0.374291115,1386,1386,2317,0.546834334,0.64887499,1
CBLOF,0.36916014,1367,1367,2336,0.538474787,0.64956689,1
CBLOF,0.378341885,1401,1401,2302,0.555079963,0.649304718,1
CBLOF,0.369970294,1370,1370,2333,0.556850927,0.658302304,1
CBLOF,0.360518499,1335,1335,2368,0.546097625,0.661841418,1
CBLOF,0.355387524,1316,1316,2387,0.55146115,0.66952856,1
CBLOF,0.379152039,1404,1404,2299,0.549715193,0.645674685,1
CBLOF,0.359708345,1332,1332,2371,0.543892163,0.661507079,1
CBLOF,0.370240346,1371,1371,2332,0.557563372,0.658419739,1
CBLOF,0.36699973,1359,1359,2344,0.543735889,0.654351466,1
CBLOF,0.368349986,1364,1364,2339,0.545016982,0.653697912,1
CBLOF,0.359708345,1332,1332,2371,0.547409704,0.663293606,1
CBLOF,0.355927626,1318,1318,2385,0.54764318,0.667066349,1
CBLOF,0.375371321,1390,1389,2314,0.551028438,0.650024682,0.999280576
CBLOF,0.366729679,1358,1358,2345,0.550571516,0.658135508,1
CBLOF,0.362678909,1343,1342,2361,0.527622197,0.650491712,0.999255398
CBLOF,0.372400756,1379,1379,2324,0.545328158,0.649927066,1
