clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,#VALUE!
Feature Bagging,0.360248447,1334,1334,2369,0.533059926,0.655557535,1
Feature Bagging,0.348636241,1291,1291,2412,0.54037921,0.670495831,1
Feature Bagging,0.364569268,1350,1350,2353,0.540702334,0.655169579,1
Feature Bagging,0.372670807,1380,1380,2323,0.535066007,0.644408263,1
Feature Bagging,0.360248447,1334,1333,2370,0.543230812,0.660648088,0.999250375
Feature Bagging,0.378881988,1403,1403,2300,0.539836066,0.640778504,1
Feature Bagging,0.378611936,1402,1402,2301,0.527655439,0.634839314,1
Feature Bagging,0.351066703,1300,1300,2403,0.55133471,0.673622485,1
Feature Bagging,0.368349986,1364,1364,2339,0.540954634,0.651618007,1
Feature Bagging,0.363219012,1345,1345,2358,0.544058981,0.658186268,1
Feature Bagging,0.351876857,1303,1303,2400,0.53937484,0.666850613,1
Feature Bagging,0.371860654,1377,1377,2326,0.545059293,0.650312298,1
Feature Bagging,0.3710505,1374,1374,2329,0.54523185,0.651187914,1
Feature Bagging,0.367539833,1361,1361,2342,0.537627743,0.650718671,1
Feature Bagging,0.365379422,1353,1353,2350,0.534147914,0.651079527,1
Feature Bagging,0.371590602,1376,1376,2327,0.539720146,0.647830969,1
Feature Bagging,0.357007831,1322,1322,2381,0.542372133,0.663360816,1
Feature Bagging,0.352416959,1305,1305,2398,0.549163575,0.671223961,1
Feature Bagging,0.367809884,1362,1362,2341,0.542996078,0.653185887,1
Feature Bagging,0.371320551,1375,1375,2328,0.529171821,0.64276862,1
Feature Bagging,0.376451526,1394,1394,2309,0.535794219,0.641079121,1
Feature Bagging,0.370780448,1373,1373,2330,0.532363266,0.644896369,1
Feature Bagging,0.372130705,1378,1378,2325,0.539992821,0.647443858,1
Feature Bagging,0.365379422,1353,1353,2350,0.528324763,0.648184748,1
Feature Bagging,0.370240346,1371,1371,2332,0.533240939,0.645866593,1
Feature Bagging,0.375911423,1392,1392,2311,0.536680674,0.642059809,1
Feature Bagging,0.363219012,1345,1345,2358,0.535885903,0.654060745,1
Feature Bagging,0.37726168,1397,1397,2306,0.529291643,0.636990067,1
