clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,#VALUE!
HBOS,0.360248447,1334,1334,2369,0.538918647,0.65847696,1
HBOS,0.348636241,1291,1290,2413,0.525127076,0.663082763,0.999225407
HBOS,0.364569268,1350,1350,2353,0.533707954,0.651652268,1
HBOS,0.372670807,1380,1380,2323,0.563943894,0.65949921,1
HBOS,0.360248447,1334,1334,2369,0.551221962,0.664723752,1
HBOS,0.378881988,1403,1403,2300,0.530081967,0.63579603,1
HBOS,0.378611936,1402,1402,2301,0.529377229,0.635705774,1
HBOS,0.351066703,1300,1300,2403,0.551927398,0.673922709,1
HBOS,0.368349986,1364,1364,2339,0.554882685,0.658823685,1
HBOS,0.363219012,1345,1345,2358,0.545810355,0.659079481,1
HBOS,0.351876857,1303,1303,2400,0.535822461,0.665098005,1
HBOS,0.371860654,1377,1377,2326,0.547949641,0.651811249,1
HBOS,0.3710505,1374,1374,2329,0.531345799,0.644121075,1
HBOS,0.367539833,1361,1361,2342,0.531819046,0.647800186,1
HBOS,0.365379422,1353,1353,2350,0.532983284,0.650497674,1
HBOS,0.371590602,1376,1376,2327,0.550128484,0.653208407,1
HBOS,0.357007831,1322,1321,2382,0.54375855,0.664057798,0.99924357
HBOS,0.352416959,1305,1305,2398,0.547388628,0.670328669,1
HBOS,0.367809884,1362,1362,2341,0.548802989,0.656174863,1
HBOS,0.371320551,1375,1375,2328,0.53669119,0.646552424,1
HBOS,0.376451526,1394,1394,2309,0.542696907,0.644626863,1
HBOS,0.370780448,1373,1372,2331,0.520423933,0.638978744,0.999271668
HBOS,0.372130705,1378,1378,2325,0.541148618,0.648035909,1
HBOS,0.365379422,1353,1353,2350,0.541135695,0.654601066,1
HBOS,0.370240346,1371,1369,2334,0.557413083,0.658338632,0.998541211
HBOS,0.375911423,1392,1391,2312,0.53689703,0.642169989,0.999281609
HBOS,0.363219012,1345,1345,2358,0.542307607,0.657296293,1
HBOS,0.37726168,1397,1397,2306,0.543085294,0.64403966,1
HBOS,0.342965163,1270,1270,2433,0.540407164,0.676013746,1
HBOS,0.365649473,1354,1353,2350,0.551970636,0.659903545,0.999261448
HBOS,0.363759114,1347,1347,2356,0.532097675,0.651643456,1
HBOS,0.356467729,1320,1320,2383,0.545006454,0.665210652,1
HBOS,0.373751013,1384,1384,2319,0.54253269,0.647170304,1
HBOS,0.361598704,1339,1339,2364,0.539083893,0.657244877,1
HBOS,0.363759114,1347,1347,2356,0.549600256,0.660501829,1
HBOS,0.380232244,1408,1408,2295,0.541044173,0.64008657,1
HBOS,0.365379422,1353,1353,2350,0.547541161,0.657874956,1
HBOS,0.365379422,1353,1353,2350,0.532400969,0.65020729,1
HBOS,0.365649473,1354,1354,2349,0.541861523,0.654707255,1
HBOS,0.363759114,1347,1347,2356,0.543766063,0.657513007,1
HBOS,0.358898191,1329,1329,2374,0.522900934,0.651910589,1
HBOS,0.358628139,1328,1328,2375,0.516872384,0.649280084,1
HBOS,0.369700243,1369,1369,2334,0.524847226,0.642217189,1
HBOS,0.366189576,1356,1356,2347,0.541565646,0.654031466,1
HBOS,0.36699973,1359,1359,2344,0.522230447,0.643595271,1
HBOS,0.361598704,1339,1339,2364,0.510422867,0.643270249,1
HBOS,0.37321091,1382,1382,2321,0.509363946,0.631218856,1
HBOS,0.384553065,1424,1424,2279,0.51905327,0.624680425,1
HBOS,0.36078855,1336,1335,2368,0.516011545,0.646730049,0.999251497
HBOS,0.371590602,1376,1375,2328,0.524322507,0.640095147,0.999273256
HBOS,0.35673778,1321,1321,2382,0.521623665,0.653424463,1
HBOS,0.3710505,1374,1374,2329,0.516881164,0.636985622,1
HBOS,0.362138806,1341,1341,2362,0.528859881,0.651631047,1
HBOS,0.357547934,1324,1324,2379,0.529159507,0.656283175,1
HBOS,0.381852552,1414,1414,2289,0.5280647,0.631855678,1
HBOS,0.363759114,1347,1347,2356,0.524513224,0.647905534,1
HBOS,0.362678909,1343,1343,2360,0.512222036,0.64304976,1
HBOS,0.36078855,1336,1336,2367,0.512287371,0.644957492,1
HBOS,0.372400756,1379,1379,2324,0.518752676,0.636560013,1
HBOS,0.364299217,1349,1349,2354,0.517235146,0.643841287,1
HBOS,0.369700243,1369,1369,2334,0.553240502,0.656661857,1
HBOS,0.357007831,1322,1322,2381,0.557077399,0.670857673,1
HBOS,0.374021064,1385,1385,2318,0.562850771,0.657619763,1
HBOS,0.353497164,1309,1309,2394,0.546245292,0.668709322,1
HBOS,0.358088037,1326,1326,2377,0.535935762,0.659094782,1
HBOS,0.37321091,1382,1381,2322,0.532090907,0.642376307,0.999276411
HBOS,0.381582501,1413,1413,2290,0.557119016,0.647275277,1
HBOS,0.370780448,1373,1373,2330,0.556671116,0.657428664,1
HBOS,0.365649473,1354,1354,2349,0.541861523,0.654707255,1
HBOS,0.373480961,1383,1381,2322,0.553217175,0.653002722,0.998553868
HBOS,0.364569268,1350,1349,2354,0.543829154,0.656758375,0.999259259
HBOS,0.372940859,1381,1380,2323,0.541769187,0.647565297,0.999275887
HBOS,0.374561167,1387,1387,2316,0.545812772,0.64808132,1
HBOS,0.372940859,1381,1380,2323,0.536572694,0.644908446,0.999275887
HBOS,0.364569268,1350,1349,2354,0.558983646,0.664607697,0.999259259
HBOS,0.352957062,1307,1307,2396,0.554207599,0.673266905,1
HBOS,0.380772347,1410,1410,2293,0.548167411,0.643287479,1
HBOS,0.368349986,1364,1364,2339,0.556043356,0.659433663,1
HBOS,0.376991628,1396,1396,2307,0.561352921,0.653968065,1
HBOS,0.366189576,1356,1356,2347,0.544474494,0.655515967,1
HBOS,0.369430192,1368,1368,2335,0.549627616,0.655035999,1
HBOS,0.365649473,1354,1354,2349,0.541861523,0.654707255,1
HBOS,0.365649473,1354,1354,2349,0.550593514,0.659189776,1
HBOS,0.3710505,1374,1373,2330,0.541396436,0.649214375,0.999272198
HBOS,0.354847421,1314,1313,2390,0.542516659,0.665529399,0.999238965
HBOS,0.364839319,1351,1351,2352,0.540847168,0.654980195,1
HBOS,0.3710505,1374,1373,2330,0.557018243,0.657352073,0.999272198
HBOS,0.36078855,1336,1336,2367,0.559126519,0.668303232,1
HBOS,0.369430192,1368,1368,2335,0.540353538,0.650259617,1
HBOS,0.362678909,1343,1343,2360,0.562460246,0.668248214,1
HBOS,0.365109371,1352,1352,2351,0.559049058,0.664125531,1
HBOS,0.365919525,1355,1350,2353,0.547725001,0.657444321,0.996309963
HBOS,0.353497164,1309,1309,2394,0.546836119,0.669006862,1
HBOS,0.373480961,1383,1383,2320,0.541822188,0.647067143,1
HBOS,0.375371321,1390,1390,2313,0.535839344,0.642158956,1
