clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,#VALUE!
Isolation Forest,0.360248447,1334,1334,2369,0.543605624,0.660838159,1
Isolation Forest,0.348636241,1291,1291,2412,0.525514372,0.663268327,1
Isolation Forest,0.364569268,1350,1350,2353,0.540702334,0.655169579,1
Isolation Forest,0.372670807,1380,1380,2323,0.540264026,0.647056254,1
Isolation Forest,0.360248447,1334,1334,2369,0.541848008,0.659950037,1
Isolation Forest,0.378881988,1403,1400,2303,0.539340699,0.640521675,0.997861725
Isolation Forest,0.378611936,1402,1402,2301,0.541429764,0.641866183,1
Isolation Forest,0.351066703,1300,1300,2403,0.558446973,0.677248027,1
Isolation Forest,0.368349986,1364,1364,2339,0.546757989,0.654594783,1
Isolation Forest,0.363219012,1345,1345,2358,0.535302112,0.653768763,1
Isolation Forest,0.351876857,1303,1303,2400,0.529309766,0.661917354,1
Isolation Forest,0.371860654,1377,1376,2327,0.549320741,0.652524963,0.999273784
Isolation Forest,0.3710505,1374,1374,2329,0.539445995,0.648217588,1
Isolation Forest,0.367539833,1361,1361,2342,0.528333828,0.646066598,1
Isolation Forest,0.365379422,1353,1352,2351,0.551247818,0.65978888,0.999260902
Isolation Forest,0.371590602,1376,1376,2327,0.537985423,0.646946364,1
Isolation Forest,0.357007831,1322,1322,2381,0.545313186,0.664842548,1
Isolation Forest,0.352416959,1305,1305,2398,0.55685501,0.675139728,1
Isolation Forest,0.367809884,1362,1362,2341,0.547641607,0.655574149,1
Isolation Forest,0.371320551,1375,1375,2328,0.534377538,0.645381534,1
Isolation Forest,0.376451526,1394,1394,2309,0.536369443,0.641372703,1
Isolation Forest,0.370780448,1373,1371,2332,0.533371209,0.64540259,0.998543336
Isolation Forest,0.372130705,1378,1378,2325,0.531902243,0.643340937,1
Isolation Forest,0.365379422,1353,1353,2350,0.544047271,0.656083765,1
Isolation Forest,0.370240346,1371,1371,2332,0.533820045,0.646157938,1
Isolation Forest,0.375911423,1392,1392,2311,0.551069473,0.649524771,1
Isolation Forest,0.363219012,1345,1345,2358,0.535302112,0.653768763,1
Isolation Forest,0.37726168,1397,1397,2306,0.528142172,0.636412379,1
Isolation Forest,0.342965163,1270,1270,2433,0.541605581,0.676600092,1
Isolation Forest,0.365649473,1354,1354,2349,0.539532992,0.65352569,1
Isolation Forest,0.363759114,1347,1347,2356,0.53734845,0.654266918,1
Isolation Forest,0.356467729,1320,1320,2383,0.545006454,0.665210652,1
Isolation Forest,0.373751013,1384,1384,2319,0.54253269,0.647170304,1
Isolation Forest,0.361598704,1339,1339,2364,0.536159299,0.655779528,1
Isolation Forest,0.363759114,1347,1347,2356,0.553100772,0.662312418,1
Isolation Forest,0.380232244,1408,1408,2295,0.538179281,0.638605057,1
Isolation Forest,0.365379422,1353,1353,2350,0.54055338,0.654305612,1
Isolation Forest,0.365379422,1353,1353,2350,0.536477174,0.652247579,1
Isolation Forest,0.365649473,1354,1353,2350,0.539745849,0.653633099,0.999261448
Isolation Forest,0.363759114,1347,1347,2356,0.539098708,0.655147891,1
Isolation Forest,0.358898191,1329,1329,2374,0.527008798,0.653906582,1
Isolation Forest,0.358628139,1328,1328,2375,0.525677869,0.653523608,1
Isolation Forest,0.369700243,1369,1369,2334,0.551502138,0.655752157,1
Isolation Forest,0.366189576,1356,1356,2347,0.534584413,0.6505057,1
Isolation Forest,0.36699973,1359,1359,2344,0.525717816,0.645305665,1
Isolation Forest,0.361598704,1339,1339,2364,0.527970434,0.651724148,1
Isolation Forest,0.37321091,1382,1377,2326,0.528334854,0.640491875,0.996382055
Isolation Forest,0.384553065,1424,1424,2279,0.529893113,0.630125246,1
Isolation Forest,0.36078855,1336,1336,2367,0.509945413,0.643850177,1
Isolation Forest,0.371590602,1376,1376,2327,0.527577084,0.64170854,1
Isolation Forest,0.35673778,1321,1321,2382,0.531626614,0.658286485,1
Isolation Forest,0.3710505,1374,1374,2329,0.516881164,0.636985622,1
Isolation Forest,0.362138806,1341,1341,2362,0.530028963,0.652207264,1
Isolation Forest,0.357547934,1324,1323,2380,0.526430601,0.654951751,0.999244713
Isolation Forest,0.381852552,1414,1414,2289,0.531496957,0.633595219,1
Isolation Forest,0.363759114,1347,1346,2357,0.530559641,0.650880319,0.99925761
Isolation Forest,0.362678909,1343,1343,2360,0.523321176,0.648388298,1
Isolation Forest,0.36078855,1336,1336,2367,0.546831242,0.661953832,1
Isolation Forest,0.372400756,1379,1379,2324,0.527418594,0.640832739,1
Isolation Forest,0.364299217,1349,1349,2354,0.518984294,0.644685072,1
Isolation Forest,0.369700243,1369,1369,2334,0.549184319,0.654544363,1
Isolation Forest,0.357007831,1322,1322,2381,0.550607082,0.667531892,1
Isolation Forest,0.374021064,1385,1384,2319,0.544611625,0.647981882,0.999277978
Isolation Forest,0.353497164,1309,1308,2395,0.548226627,0.669708014,0.999236058
Isolation Forest,0.358088037,1326,1326,2377,0.540047724,0.661145395,1
Isolation Forest,0.37321091,1382,1382,2321,0.541688204,0.647261143,1
Isolation Forest,0.381582501,1413,1413,2290,0.54166968,0.63909499,1
