clf_name,out_rate,R_out_count,P_out_count,P_nor_count,AUC,AP,#VALUE!
KNN,0.360248447,1334,1334,2369,0.535403415,0.656721028,1
KNN,0.348636241,1291,1291,2412,0.539190023,0.669909724,1
KNN,0.364569268,1350,1350,2353,0.544199525,0.656947741,1
KNN,0.372670807,1380,1380,2323,0.535643564,0.644701002,1
KNN,0.360248447,1334,1334,2369,0.544777369,0.661432022,1
KNN,0.378881988,1403,1403,2300,0.539836066,0.640778504,1
KNN,0.378611936,1402,1401,2302,0.54107313,0.641681085,0.999286733
KNN,0.351066703,1300,1299,2404,0.557469669,0.676746204,0.999230769
KNN,0.368349986,1364,1364,2339,0.540954634,0.651618007,1
KNN,0.363219012,1345,1345,2358,0.53471832,0.65347714,1
KNN,0.351876857,1303,1302,2401,0.538399047,0.666367645,0.99923254
KNN,0.371860654,1377,1377,2326,0.547371571,0.65151072,1
KNN,0.3710505,1374,1374,2329,0.544074679,0.650590899,1
KNN,0.367539833,1361,1361,2342,0.539370352,0.651601326,1
KNN,0.365379422,1353,1353,2350,0.524830872,0.646465264,1
KNN,0.371590602,1376,1376,2327,0.539720146,0.647830969,1
KNN,0.357007831,1322,1322,2381,0.54001929,0.66218178,1
KNN,0.352416959,1305,1305,2398,0.550346873,0.671822561,1
KNN,0.367809884,1362,1362,2341,0.542996078,0.653185887,1
KNN,0.371320551,1375,1375,2328,0.537848016,0.647140083,1
KNN,0.376451526,1394,1394,2309,0.55017482,0.648531209,1
KNN,0.370780448,1373,1373,2330,0.530626991,0.644026072,1
KNN,0.372130705,1378,1377,2326,0.542519469,0.648739609,0.999274311
KNN,0.365379422,1353,1353,2350,0.534730229,0.651370996,1
KNN,0.370240346,1371,1371,2332,0.531503623,0.644994764,1
KNN,0.375911423,1392,1392,2311,0.540709538,0.644126406,1
KNN,0.363219012,1345,1345,2358,0.546977938,0.659676755,1
KNN,0.37726168,1397,1397,2306,0.533889527,0.63931586,1
KNN,0.342965163,1270,1270,2433,0.542204789,0.676893772,1
KNN,0.365649473,1354,1354,2349,0.54535432,0.656490477,1
KNN,0.363759114,1347,1347,2356,0.522762966,0.647051585,1
KNN,0.356467729,1320,1320,2383,0.523227978,0.654463433,1
KNN,0.373751013,1384,1384,2319,0.541955809,0.646873019,1
KNN,0.361598704,1339,1339,2364,0.536744218,0.656071882,1
KNN,0.363759114,1347,1347,2356,0.537931869,0.654560216,1
KNN,0.380232244,1408,1408,2295,0.531876516,0.635379145,1
KNN,0.365379422,1353,1353,2350,0.53938875,0.653715792,1
KNN,0.365379422,1353,1353,2350,0.533565599,0.650788419,1
KNN,0.365649473,1354,1353,2350,0.539745849,0.653633099,0.999261448
KNN,0.363759114,1347,1347,2356,0.537931869,0.654560216,1
KNN,0.358898191,1329,1329,2374,0.528182473,0.654480059,1
KNN,0.358628139,1328,1328,2375,0.523916772,0.652668521,1
KNN,0.369700243,1369,1369,2334,0.51905268,0.639377603,1
KNN,0.366189576,1356,1356,2347,0.532257335,0.649342063,1
KNN,0.36699973,1359,1359,2344,0.537342379,0.651101625,1
KNN,0.361598704,1339,1339,2364,0.517441894,0.646613158,1
KNN,0.37321091,1382,1381,2322,0.522278186,0.63748832,0.999276411
KNN,0.384553065,1424,1424,2279,0.528181559,0.629256296,1
KNN,0.36078855,1336,1336,2367,0.52224069,0.649727304,1
KNN,0.371590602,1376,1375,2328,0.528370194,0.642103256,0.999273256
KNN,0.35673778,1321,1321,2382,0.528096162,0.656558845,1
KNN,0.3710505,1374,1374,2329,0.51861692,0.637829709,1
KNN,0.362138806,1341,1341,2362,0.538212539,0.656280938,1
KNN,0.357547934,1324,1324,2379,0.521517901,0.65257448,1
KNN,0.381852552,1414,1414,2289,0.527492658,0.631567091,1
KNN,0.363759114,1347,1347,2356,0.531514256,0.651353761,1
KNN,0.362678909,1343,1343,2360,0.520984515,0.647253622,1
KNN,0.36078855,1336,1336,2367,0.531608519,0.654310779,1
KNN,0.372400756,1379,1379,2324,0.512975397,0.633757817,1
KNN,0.364299217,1349,1349,2354,0.53122833,0.650682523,1
KNN,0.369700243,1369,1369,2334,0.537595227,0.64859351,1
KNN,0.357007831,1322,1322,2381,0.542960344,0.663656457,1
KNN,0.374021064,1385,1385,2318,0.547856206,0.649669546,1
KNN,0.353497164,1309,1309,2394,0.548017772,0.669602989,1
KNN,0.358088037,1326,1326,2377,0.542397416,0.662324961,1
KNN,0.37321091,1382,1382,2321,0.542265423,0.647558194,1
KNN,0.381582501,1413,1412,2291,0.548182195,0.642508821,0.999292286
KNN,0.370780448,1373,1373,2330,0.536993332,0.64723337,1
KNN,0.365649473,1354,1354,2349,0.541861523,0.654707255,1
KNN,0.373480961,1383,1383,2320,0.54759269,0.650055542,1
KNN,0.364569268,1350,1350,2353,0.555273961,0.662664381,1
KNN,0.372940859,1381,1381,2322,0.546750348,0.650140771,1
KNN,0.374561167,1387,1387,2316,0.546965531,0.648681441,1
KNN,0.372940859,1381,1381,2322,0.534625198,0.643920758,1
KNN,0.364569268,1350,1350,2353,0.551193905,0.660543079,1
KNN,0.352957062,1307,1307,2396,0.551251416,0.671761296,1
KNN,0.380772347,1410,1410,2293,0.541868097,0.639987989,1
KNN,0.368349986,1364,1363,2340,0.535945381,0.649077655,0.999266862
KNN,0.376991628,1396,1396,2307,0.543531087,0.644533837,1
KNN,0.366189576,1356,1356,2347,0.53749326,0.651968415,1
KNN,0.369430192,1368,1368,2335,0.548468356,0.654433816,1
KNN,0.365649473,1354,1354,2349,0.526726072,0.647130745,1
KNN,0.365649473,1354,1354,2349,0.537786594,0.652643322,1
KNN,0.3710505,1374,1374,2329,0.518038334,0.637547978,1
KNN,0.354847421,1314,1314,2389,0.540537936,0.664541025,1
KNN,0.364839319,1351,1351,2352,0.547256662,0.658251424,1
KNN,0.3710505,1374,1374,2329,0.547546192,0.652386369,1
KNN,0.36078855,1336,1336,2367,0.552100647,0.664655727,1
KNN,0.369430192,1368,1368,2335,0.539773908,0.649964211,1
KNN,0.362678909,1343,1343,2360,0.537925306,0.655610191,1
KNN,0.365109371,1352,1352,2351,0.552059082,0.660470794,1
KNN,0.365919525,1355,1355,2348,0.543750511,0.655407848,1
KNN,0.353497164,1309,1309,2394,0.546245292,0.668709322,1
KNN,0.373480961,1383,1383,2320,0.531435286,0.641781664,1
KNN,0.375371321,1390,1390,2313,0.535263462,0.641865826,1
KNN,0.36916014,1367,1367,2336,0.555289148,0.658257798,1
KNN,0.363219012,1345,1345,2358,0.553983434,0.663290614,1
KNN,0.368079935,1363,1363,2340,0.541975187,0.652401516,1
KNN,0.349176344,1293,1293,2410,0.535955977,0.667796318,1
KNN,0.355657575,1317,1317,2386,0.543954198,0.665465494,1
KNN,0.374291115,1386,1386,2317,0.537609587,0.644117651,1
